name,size_bytes,currency,price,review_count,rating,content_rating,primary_genre
Peekaboo Barn,50155520,USD,1.99,3393,4,4+,Education
Speedtest by Ookla,23936000,USD,0,65016,3.5,4+,Utilities
Pocket God,145293312,USD,0.99,187529,4,9+,Entertainment
Nike+ Training Club - Workouts & Fitness Plans,140367872,USD,0,33969,3.5,4+,Health & Fitness
Citi Mobile®,281244672,USD,0,48822,3.5,4+,Finance
Phase 10 Pro - Play Your Friends!,66695168,USD,1.99,59155,4.5,4+,Games
"Kindle – Read eBooks, Magazines & Textbooks",169747456,USD,0,252076,3.5,4+,Book
MASH,41691136,USD,1.99,4913,4,9+,Games
同花顺-炒股、股票,122886144,USD,0,1744,3.5,4+,Finance
Wedding Dash Deluxe,55803904,USD,0.99,16567,4.5,4+,Games
Beer Pong Game,188956672,USD,0,187315,2,17+,Games
Tempo - Metronome with Setlists,22185984,USD,2.99,4781,4.5,4+,Music
Skat,66160640,USD,3.99,94,4.5,4+,Games
Color Splash,28135424,USD,0.99,29554,4,4+,Photo & Video
Zombieville USA,27962441,USD,0.99,32988,4,12+,Games
Skype for iPhone,133238784,USD,0,373519,3.5,4+,Social Networking
Tumblr,151573504,USD,0,334293,4,17+,Social Networking
iSwap Faces,27069440,USD,1.99,2302,3.5,4+,Photo & Video
Match™ - #1 Dating App.,101259264,USD,0,60659,3,17+,Social Networking
Tozzle - Toddler's favorite puzzle,168192000,USD,2.99,2562,4,4+,Games
HomeBudget with Sync,17485824,USD,4.99,3042,3.5,4+,Finance
Wind Meter,5234688,USD,0.99,338,2.5,4+,Weather
Map My Run+ - GPS Running & Workout Tracker,237913088,USD,2.99,16434,4.5,4+,Health & Fitness
Map My Ride+ - GPS Cycling & Route Tracker,233513984,USD,2.99,10046,4.5,4+,Health & Fitness
"HuffPost - News, Politics & Entertainment",110420992,USD,0,29107,3,12+,News
Phrase Party!,47774720,USD,1.99,878,4,17+,Games
Minesweeper Classic,22259712,USD,0.99,1140,3.5,4+,Games
Sally's Spa,431771648,USD,2.99,35074,4.5,4+,Games
"CBS Sports App - Sports Scores, News, Stats, Watch",120357888,USD,0,59639,3,17+,Sports
Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,90828800,USD,4.99,2913,4,4+,Health & Fitness
iSwap Faces LITE,30796800,USD,0,39722,3,4+,Photo & Video
DIRECTV,151397376,USD,0,81006,3.5,4+,Entertainment
NYTimes Crossword - Daily Word Puzzle Game,46880768,USD,0,53465,3.5,4+,Games
Doodle Jump,48741376,USD,0.99,395261,4.5,4+,Games
LEDit – The LED Banner App,17145856,USD,1.99,2021,4.5,4+,Utilities
niconico,25808896,USD,0,182,3,17+,Entertainment
Fandango Movies - Times + Tickets,81924096,USD,0,291787,4,4+,Entertainment
iCab Mobile (Web Browser),19451904,USD,1.99,2441,4,17+,Utilities
iRagdoll - Ragdoll Physics,118683648,USD,0.99,1372,4,12+,Games
Proloquo2Go - Symbol-based AAC,723764224,USD,249.99,773,4,4+,Education
Dictionary.com Dictionary & Thesaurus,111275008,USD,0,200047,4,4+,Reference
20 Minutes.fr - l'actualité en continu,109616128,USD,0,112,3.5,12+,News
The Masters Tournament,120725504,USD,0,148160,4.5,4+,Sports
myAT&T,68491264,USD,0,108507,3,4+,Utilities
SFR TV,122153984,USD,0,46,3,4+,Entertainment
"Shutterfly: Prints, Photo Books, Cards Made Easy",122315776,USD,0,51427,4,4+,Photo & Video
StickWars,17010688,USD,0.99,53821,3.5,12+,Games
Indeed Job Search,3691520,USD,0,38681,4,4+,Business
World Cup Table Tennis™,31387648,USD,0.99,17776,4,4+,Games
WhatsApp Messenger,135044096,USD,0,287589,4.5,4+,Social Networking
"iStudiez Pro – Homework, Schedule, Grades",55815168,USD,2.99,7308,4,4+,Productivity
Zillow Real Estate - Homes for Sale & for Rent,132632576,USD,0,342969,4.5,4+,Lifestyle
2XL Supercross,270729216,USD,4.99,6093,4,4+,Games
Pocket Tanks Deluxe,39827456,USD,4.99,5452,4.5,9+,Games
Wells Fargo Mobile,57328640,USD,0,43064,3,4+,Finance
radio.de - Der Radioplayer,40717312,USD,0,64,4.5,4+,Music
AutoScout24 - mobile used & new car market,141136896,USD,0,220,4.5,4+,Productivity
Sky Burger - Build & Match Food Free,146228224,USD,0,114096,4.5,4+,Games
MindNode – Delightful Mind Mapping,52294656,USD,9.99,1296,4,4+,Productivity
Packing Pro,16332800,USD,2.99,1293,4,4+,Travel
USAA Mobile,164382720,USD,0,19946,4,4+,Finance
The Moron Test,45712384,USD,0,88613,4,4+,Entertainment
Sunday Lawn,16086016,USD,0.99,107727,3.5,4+,Games
Peggle Classic,223805440,USD,0.99,21416,4.5,4+,Games
SmartGo Player,22159360,USD,2.99,533,4,4+,Games
I Am T-Pain 2.0,20542280,USD,2.99,32650,3.5,12+,Music
TextNow - Unlimited Text + Calls,130637824,USD,0,164963,3.5,4+,Social Networking
Boating Weather,8900608,USD,1.99,141,3,4+,Weather
Best Buy,180500480,USD,0,80424,4,4+,Shopping
I Dig It,19853312,USD,0.99,17190,4,4+,Games
Unblock Me,42926080,USD,0.99,7973,4,4+,Games
Sonic The Hedgehog,36692992,USD,2.99,19621,4,4+,Games
10 Pin Shuffle Pro Bowling,36647936,USD,3.99,7315,4,4+,Games
Sky News,91697152,USD,0,118,3,12+,News
"ESPN: Get scores, news, alerts & watch live sports",51538944,USD,0,290996,3.5,4+,Sports
LiveATC Air Radio,8302592,USD,3.99,2785,4,4+,Travel
The Sims 3,430128128,USD,6.99,54408,3.5,12+,Games
"Chess Pro with Coach - Learn,Play & Online Friends",69960704,USD,9.99,8138,4,4+,Games
Guess My Age  Math Magic,767126,USD,0,123190,3,4+,Education
Crush the Castle,12996628,USD,0.99,23810,3.5,12+,Games
2016 U.S. Open Golf Championship,139545600,USD,0,54192,4,4+,Sports
"The Championships, Wimbledon 2016 - Tennis Grand Slam",130394112,USD,0,20953,4,4+,Sports
TuneIn Radio Pro - MLB Audiobooks Podcasts Music,101925888,USD,9.99,71609,4.5,12+,Music
NBC News,52951040,USD,0,32881,3.5,12+,News
"Grindr - Gay and same sex guys chat, meet and date",80409600,USD,0,23201,2.5,17+,Social Networking
Whole Foods Market,137312256,USD,0,17906,3,4+,Shopping
NAVIGON Europe,144412672,USD,74.99,927,3.5,4+,Navigation
Virtual Families,27746273,USD,1.99,18920,3.5,9+,Games
Sparkasse+,119648256,USD,0.99,30,3,4+,Finance
Sparkasse - Your mobile branch,119574528,USD,0,77,3,4+,Finance
Sleep Cycle alarm clock,79315968,USD,0,104539,4.5,4+,Health & Fitness
FACEinHOLE®,12818432,USD,0.99,4016,4,12+,Photo & Video
Harvest - Select the Best Produce,18165760,USD,1.99,299,4,4+,Food & Drink
WORMS,253834240,USD,1.99,5758,4,12+,Games
Pixel Starships™ : 8Bit MMORPG,69083136,USD,0,5565,4.5,9+,Games
Traffic Rush,8573952,USD,0.99,213092,3.5,9+,Games
MyRadar NOAA Weather Radar Forecast,127284224,USD,0,150158,4.5,4+,Weather
Resident Evil 4: PLATINUM,81374398,USD,4.99,6046,4,12+,Games
"Waze - GPS Navigation, Maps & Real-time Traffic",94139392,USD,0,345046,4.5,4+,Navigation
Cartoon Wars,13216994,USD,0.99,35930,3.5,12+,Games
Moto X Mayhem,21010210,USD,0.99,22557,4,4+,Games
Fantasy Football Manager - FFM for FPL,35998720,USD,0.99,292,3,17+,Sports
Spotify Music,132510720,USD,0,878563,4.5,12+,Music
McDo France,37001216,USD,0,22,3.5,4+,Food & Drink
PGA Championship 2016 – Baltusrol Golf Club,64147456,USD,0,10472,3.5,17+,Sports
BFMTV : l'info en continu,100779008,USD,0,115,4,17+,News
"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",123718656,USD,1.99,13915,4.5,4+,Weather
Spider:  The Secret of Bryce Manor,126312448,USD,1.99,6780,4,9+,Games
My Measures PRO,79882240,USD,7.99,1701,4,4+,Productivity
Food Additives Checker (E Numbers),6418432,USD,1.99,6,3.5,4+,Health & Fitness
SFR Mon Compte,74093568,USD,0,19,3,4+,Utilities
Baby Connect (Activity Log),12937216,USD,4.99,3483,4.5,4+,Medical
Epson iPrint,53388288,USD,0,2838,3,4+,Photo & Video
Mad Libs,118498304,USD,0,117889,3,4+,Entertainment
BATTLE BEARS: Zombies!,103197675,USD,0.99,50710,3.5,9+,Games
Hurricane Tracker,24574976,USD,2.99,3960,4.5,4+,Weather
NFL Sunday Ticket,96093184,USD,0,24258,3,4+,Entertainment
2016 US Open Tennis Championships,77700096,USD,0,37522,4,4+,Sports
Dropbox,180804608,USD,0,49578,3.5,4+,Productivity
Wa Kingyo - Goldfish Pond,56397824,USD,0.99,626,4,4+,Entertainment
Monkey Preschool Lunchbox,229272576,USD,1.99,9286,4,4+,Games
Yahoo Fantasy Sports,131000320,USD,0,190670,3.5,17+,Sports
Gaia GPS Classic,53097472,USD,19.99,2429,4.5,4+,Navigation
iLoan Calc (Loan calculator),3375104,USD,3.99,0,0,4+,Finance
Geocaching®,108166144,USD,0,12811,3.5,4+,Navigation
Camera+,89187328,USD,1.99,32338,4,4+,Photo & Video
Alter Ego,13647872,USD,4.99,262,4,12+,Games
Parking Mania,123544576,USD,0.99,9657,4.5,4+,Games
Sudoku⁺,1608704,USD,2.99,18332,4.5,4+,Games
Period Tracker Lite,50169856,USD,0,53620,4,12+,Health & Fitness
Camera Plus: For Macro Photos & Remote Photography,101181440,USD,0.99,38533,2.5,4+,Photo & Video
The perfect Egg timer,15329280,USD,0.99,40,3.5,4+,Food & Drink
Letter Quiz - alphabet tracing for kids,31845376,USD,1.99,472,4,4+,Games
Starbucks,135032832,USD,0,303856,4.5,4+,Food & Drink
央视影音-海量央视内容高清直播,54648832,USD,0,2070,2.5,4+,Sports
Bloons TD,8432232,USD,2.99,7941,4,4+,Games
Weight Watchers,230720512,USD,0,136833,3.5,12+,Health & Fitness
"CNN: Breaking US & World News, Live Video",80211968,USD,0,112886,3.5,12+,News
Gilt,148201472,USD,0,26353,3.5,4+,Shopping
TRUTH or DARE!!! - FREE,20795392,USD,0,171055,3,12+,Entertainment
Canabalt,27934720,USD,2.99,4540,4,9+,Games
Alipay - Makes Life Easy,208309248,USD,0,1926,3,4+,Lifestyle
Scanner911 Pro,33812480,USD,3.99,14345,4,12+,News
Daily Teachings,20298752,USD,4.99,1340,4.5,4+,Lifestyle
Scanner Pro - PDF document scanner app with OCR,101346304,USD,3.99,31912,4.5,4+,Business
Twitter,210569216,USD,0,354058,3.5,17+,News
"Trainline UK: Live Train Times, Tickets & Planner",110198784,USD,0,248,4,4+,Travel
CBS News - Watch Free Live Breaking News,78047232,USD,0,11691,3.5,12+,News
iOvilus,9946112,USD,1.99,381,3,12+,Entertainment
The Impossible Quiz!,44652544,USD,0,18884,4,9+,Entertainment
WolframAlpha,30369792,USD,2.99,7410,4,9+,Reference
Catan,376171520,USD,1.99,15175,4,4+,Games
ScanBizCards Business Card Reader,96815104,USD,0.99,3166,4,4+,Business
"Walgreens – Pharmacy, Photo, Coupons and Shopping",169138176,USD,0,88885,4.5,12+,Shopping
King of Dragon Pass,364490752,USD,9.99,882,5,12+,Games
Stylebook,44135424,USD,3.99,1729,4,17+,Lifestyle
NBA,112074752,USD,0,43682,3.5,4+,Sports
Blower,98942976,USD,0.99,861,2,4+,Entertainment
My Cycles Period and Ovulation Tracker,77686784,USD,0,7469,3.5,12+,Health & Fitness
"Kmart – Download Now, Shop Online & Pick Up Today!",94496768,USD,0,4186,3.5,4+,Shopping
优酷视频,204959744,USD,0,4885,3.5,12+,Entertainment
DOOM Classic,32796672,USD,4.99,3970,4,17+,Games
SoundCloud - Music & Audio,105009152,USD,0,135744,4,4+,Music
imo video calls and chat,22562816,USD,0,18841,4,4+,Social Networking
Plane Finder - Flight Tracker,52632576,USD,3.99,1438,4,4+,Navigation
"Runtastic Running, Jogging and Walking Tracker",151388160,USD,0,10298,4.5,4+,Health & Fitness
iFiles,47323136,USD,0.99,1842,3.5,4+,Productivity
TeachMe: Kindergarten,59846656,USD,1.99,2548,4,4+,Education
Moorhuhn Deluxe - Crazy Chicken,27807744,USD,0.99,319,3,12+,Games
Victoria’s Secret – The Sexiest Bras & Lingerie,60976128,USD,0,34507,3.5,12+,Shopping
MONOPOLY Game,194386944,USD,0.99,26482,3.5,4+,Games
n-tv Nachrichten,49470464,USD,0,273,3,12+,News
Shazam Encore,147118080,USD,2.99,8331,4,12+,Music
Harry Potter: Spells,125411328,USD,0.99,17023,4,4+,Games
First Words Deluxe,63316992,USD,4.99,1101,4,4+,Games
Clay Hunt,15313920,USD,0.99,1193,4,17+,Games
Dream Team - be your own fantasy football manager,69816320,USD,0,35,2.5,17+,Sports
Jet Car Stunts,32848910,USD,1.99,4088,4,4+,Games
Call of Duty: Zombies,52821364,USD,4.99,63943,4,17+,Games
"Walmart: Free 2-Day Shipping,* Easy Store Shopping",146507776,USD,0,70286,3,4+,Shopping
AirWatch Agent,24747008,USD,0,1150,2.5,4+,Business
Shop Savvy Barcode Scanner - Price Compare & Deals,89517056,USD,0,54630,2.5,4+,Shopping
Voice Changer Plus,40722432,USD,0,98777,3,4+,Entertainment
CatPaint,73332736,USD,0.99,649,4,4+,Photo & Video
Redbox,83906560,USD,0,60236,3,12+,Entertainment
クックパッド - No.1料理レシピ検索アプリ,76644352,USD,0,115,3.5,4+,Food & Drink
Trenches,37340259,USD,0.99,26732,4,17+,Games
The Christmas List,26137600,USD,1.99,2722,4.5,4+,Shopping
Macy's,107816960,USD,0,11013,3.5,4+,Shopping
Calorie Counter & Diet Tracker by MyFitnessPal,152700928,USD,0,507706,4.5,4+,Health & Fitness
BlaBlaCar - Trusted Carpooling,112024576,USD,0,397,4.5,4+,Travel
Refills Calendar - Scheduler - Note,35864576,USD,9.99,196,4,4+,Productivity
5-0 Radio Pro Police Scanner (Extra Feeds),49594368,USD,3.99,24553,4,9+,News
Hipstamatic,114081792,USD,2.99,12557,3.5,4+,Photo & Video
Sing Karaoke Songs Unlimited with StarMaker,91267072,USD,0,26227,4,9+,Music
TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF,8821760,USD,4.99,28388,5,4+,Business
Positivity with Andrew Johnson,69513216,USD,2.99,282,4,4+,Health & Fitness
Rat On A Scooter XL,7767040,USD,0.99,19296,4,4+,Games
IMDb Movies & TV - Trailers and Showtimes,88702976,USD,0,183425,4.5,12+,Entertainment
Angry Birds,175966208,USD,0,824451,4.5,4+,Games
DB Navigator,84791296,USD,0,512,3.5,4+,Travel
Video Calls with Santa,27997184,USD,2.99,315,3.5,4+,Lifestyle
Voyages-sncf.com : book train and bus tickets,131463168,USD,0,268,3.5,4+,Travel
The Font Game,5415000,USD,1.99,438,4.5,4+,Games
ImmobilienScout24: Real Estate Search in Germany,126867456,USD,0,187,3.5,4+,Navigation
Grand Theft Auto: Chinatown Wars,878883840,USD,4.99,15142,4,17+,Games
Southwest Airlines,88773632,USD,0,30552,3,4+,Travel
The Sims 3 World Adventures,812758016,USD,2.99,9744,3.5,12+,Games
Star Chart,28616704,USD,0,13482,4.5,4+,Education
TaxCaster – Free tax refund calculator,7111680,USD,0,17516,3.5,4+,Finance
Glow Hockey 2 FREE,34056767,USD,0,186653,3.5,4+,Games
"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog & animal fx",21450752,USD,0.99,10031,4,4+,Entertainment
TV SPIELFILM - TV Programm mit Live TV,97879040,USD,0,81,3,4+,Entertainment
All-in-1 Logic GameBox,22299021,USD,0.99,9854,4,4+,Games
Roadside America,10231808,USD,2.99,1093,4,9+,Travel
Pocket Yoga,132480000,USD,2.99,4475,4.5,4+,Health & Fitness
Sonic the Hedgehog 2,47182848,USD,2.99,9405,4,4+,Games
Simply Being - Guided Meditation for Relaxation and Presence,100048896,USD,1.99,2417,4.5,4+,Health & Fitness
CamCard - Business card scanner & reader,174839808,USD,0.99,2923,4.5,4+,Business
This American Life,13725696,USD,2.99,8657,3.5,9+,Entertainment
Timetracks - Slit-Scan Camera,11369472,USD,0.99,70,2,4+,Photo & Video
franceinfo - l'actualité & les élections en direct,155857920,USD,0,162,4,17+,News
DOUBUTSU URANAI®-Animal Fortune-,38718464,USD,0.99,5,4,4+,Lifestyle
Doodle Army,17879270,USD,0.99,12354,4,12+,Games
Ameba,96635904,USD,0,269,3,12+,Social Networking
eBook: War and Peace,8039424,USD,3.99,0,0,9+,Book
Plants vs. Zombies,105379840,USD,0.99,426463,5,9+,Games
Weibo,199585792,USD,0,7265,3.5,17+,Social Networking
大众点评-发现品质生活,244516864,USD,0,844,4,17+,Lifestyle
AlloCiné : Cinéma et Séries,123450368,USD,0,101,4,12+,Entertainment
"Badoo - Meet New People, Chat, Socialize.",157625344,USD,0,34428,4.5,17+,Social Networking
Flick Kick Field Goal,75612160,USD,1.99,36946,4.5,4+,Games
Venmo,68153344,USD,0,21090,4.5,4+,Finance
"Dungeons & Such Treasures,Collectibles and Dragons",84469760,USD,2.99,653,4.5,12+,Games
"StarMap 3D+: Night Sky, Astronomy, Star View Guide",100368384,USD,3.99,1118,4.5,4+,Education
Shift Worker,7344128,USD,1.99,348,4,4+,Productivity
"Spy Calc - Hide pictures, videos, documents",25097281,USD,1.99,207,3.5,9+,Utilities
Waterlogged - Daily Hydration Tracker,43439104,USD,0,5000,4.5,12+,Health & Fitness
MyNetDiary PRO - Calorie Counter and Food Diary,83851264,USD,3.99,15188,4.5,12+,Health & Fitness
The Washington Post Classic,118980608,USD,0,18572,4.5,12+,News
F-Sim Space Shuttle,76394496,USD,4.99,6403,4.5,4+,Games
"Groupon - Deals, Coupons & Discount Shopping App",127382528,USD,0,417779,4.5,12+,Shopping
Learn to Speak Spanish Fast With MosaLingua,48819200,USD,4.99,9,5,12+,Education
"Coaster VR, Extreme Endless 3D Stereograph",30977024,USD,0.99,107,2.5,4+,Entertainment
Parents Calling Easter Bunny,8073209,USD,1.99,72,2,4+,Lifestyle
Sporcle,15676416,USD,2.99,2044,3.5,9+,Games
"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",81876992,USD,0,16683,3.5,4+,Sports
DOOM II RPG,48700821,USD,0.99,1455,3,12+,Games
STREET FIGHTER IV,581353472,USD,4.99,15056,4,17+,Games
Dr. Seuss Camera - The Cat in the Hat Edition,9906176,USD,0.99,249,4.5,4+,Photo & Video
FINAL FANTASY,114843648,USD,7.99,6091,4,9+,Games
FINAL FANTASY II,199450624,USD,7.99,2754,4,9+,Games
Worms 2: Armageddon,529755136,USD,4.99,9870,4.5,12+,Games
SoundHound Song Search & Music Player,70516736,USD,0,82602,4,9+,Music
Jourist Weltübersetzer,147066880,USD,7.99,0,0,4+,Travel
TeachMe: 1st Grade,90241024,USD,1.99,762,4,4+,Education
TeachMe: 3rd Grade,174268416,USD,1.99,160,4,4+,Education
ヤフオク! 利用者数NO.1のオークション、フリマアプリ,187040768,USD,0,9,3,17+,Shopping
Kik,151864320,USD,0,260965,4,12+,Social Networking
Slow Shutter Cam,4466688,USD,1.99,2305,4,4+,Photo & Video
PeakFinder Earth,35478528,USD,4.99,137,4,4+,Travel
AgingBooth,31869952,USD,0,11999,4,4+,Entertainment
"iWatermark - Watermark 1 or Batch of Photos. Watermarking with Text, Logo, & Graphics Overlays.",21771264,USD,1.99,1995,4.5,12+,Photo & Video
Tabs & Chords by Ultimate Guitar - learn and play,103049216,USD,2.99,35045,4.5,4+,Music
"Dude, your car!",40586240,USD,0.99,343,4,4+,Entertainment
Drawing Pad,220397568,USD,1.99,1824,4,4+,Entertainment
ESPN Tournament Challenge,69057536,USD,0,39642,4,4+,Sports
Solitaire,101943296,USD,0,679055,4.5,4+,Games
Notability,122235904,USD,9.99,17594,4,4+,Productivity
Rubik's® Cube,151954432,USD,1.99,3531,4,4+,Games
Super Why! Power to Read,138047488,USD,3.99,1080,3.5,4+,Education
Amex Mobile,105982976,USD,0,11421,4,4+,Finance
Fruit Ninja Classic,104590336,USD,1.99,698516,4.5,4+,Games
Animation Creator HD,32051200,USD,3.99,4497,4,12+,Entertainment
Plants vs. Zombies HD,225859584,USD,0.99,163598,5,9+,Games
SCRABBLE Premium for iPad,229992448,USD,9.99,39678,3.5,4+,Games
Graphic - illustration and design,32604160,USD,8.99,1809,4.5,4+,Productivity
Ship Finder,22948864,USD,4.99,624,3.5,4+,Navigation
Photogene ⁴,35422208,USD,2.99,3761,4.5,4+,Photo & Video
Hurricane HD,32083968,USD,3.99,353,4,12+,Weather
Star Walk HD - Night Sky Map,150221824,USD,4.99,6503,4.5,4+,Education
Space War HD,30270464,USD,0.99,71,3,4+,Games
Netflix,125016064,USD,0,308844,3.5,4+,Entertainment
forScore,35717120,USD,9.99,3909,4.5,4+,Music
ComicGlass [ComicReader],31955968,USD,2.99,308,4.5,12+,Utilities
iAnnotate PDF,44099584,USD,9.99,11156,4.5,4+,Productivity
ArtStudio for iPad - Draw Sketch and Paint,34310144,USD,4.99,8542,4.5,4+,Photo & Video
Call of Duty: Zombies HD,35602607,USD,4.99,5853,3.5,17+,Games
Small World 2,234123264,USD,1.99,1506,4,9+,Games
Qzone,133874688,USD,0,1649,3.5,4+,Social Networking
ABC – Watch Live TV & Stream Full Episodes,85724160,USD,0,78890,3,12+,Entertainment
Fieldrunners for iPad,219693056,USD,3.99,2147,4,9+,Games
Angry Birds HD,176164864,USD,0,89110,4.5,4+,Games
"The Weather Channel App for iPad – best local forecast, radar map, and storm tracking",59101184,USD,0,208648,4,4+,Weather
Do Not Press The Red Button HD,10907191,USD,1.99,856,2.5,12+,Entertainment
"Digits, the calculator for humans",4177920,USD,3.99,7825,4.5,4+,Productivity
"PDF Reader Pro Edition - Annotate,edit & sign PDFs",62978048,USD,9.99,7033,4,4+,Business
National Geographic World Atlas,66138112,USD,1.99,4255,4,4+,Reference
FileBrowser - Access files on remote computers,68073472,USD,5.99,3230,4.5,4+,Utilities
Dictionary.com Dictionary & Thesaurus for iPad,165748736,USD,0,54175,4.5,4+,Reference
Animation & Drawing by Do Ink,33857536,USD,4.99,308,4,4+,Education
AirCoaster - Roller Coaster Builder,22763520,USD,0.99,2602,3,9+,Games
